NGEL_ID,STATION,CITY,COUNTRY,LAT,LON,YEAR,SEARCH RADIUS,TAU_NEAREST PIXEL,TAU3_PIX,TAU3_MEAN,TAU3_MEDIAN,TAU3_STD
NGEL_OAPM_00099,Wynyard,Tasmania-Region,AU,-40.9918,145.719,1998,5.3,4.0,5,4.0,4.0,0.0
NGEL_OAPM_00100,Emu-River,Tasmania-Region,AU,-41.1081,145.883,1998,5.4,4.0,9,4.0,4.0,0.0
NGEL_OAPM_00101,George-Town,Tasmania-Region,AU,-41.1109,146.836,1998,4.5,5.0,9,5.0,5.0,0.0
NGEL_OAPM_00102,Derby,Tasmania-Region,AU,-41.1499,147.804,1998,3.9,5.0,9,5.0,5.0,0.0
NGEL_OAPM_00103,Scottsdale,Tasmania-Region,AU,-41.1574,147.514,1998,3.1,5.0,9,5.0,5.0,0.0
NGEL_OAPM_00104,West-Ulverstone,Tasmania-Region,AU,-41.1586,146.146,1998,1.0,5.0,7,4.571,5.0,0.495
NGEL_OAPM_00105,Devonport,Tasmania-Region,AU,-41.1848,146.346,1998,3.9,7.0,6,5.333,5.0,0.745
NGEL_OAPM_00106,Lilydale,Tasmania-Region,AU,-41.2417,147.214,1998,3.1,5.0,9,5.0,5.0,0.0
NGEL_OAPM_00107,Exeter,Tasmania-Region,AU,-41.3056,146.951,1998,4.9,5.0,9,5.0,5.0,0.0
NGEL_OAPM_00108,St-Helens,Tasmania-Region,AU,-41.3061,148.219,1998,5.5,5.0,9,5.0,5.0,0.0
NGEL_OAPM_00109,Sheffield,Tasmania-Region,AU,-41.3936,146.338,1998,5.0,5.0,9,5.0,5.0,0.0
NGEL_OAPM_00110,Alerce,Puerto-Montt,CL,-41.399169537038,-72.899522781372,1998,6.9,5.0,9,8.222,5.0,8.203
NGEL_OAPM_00111,Ti-Tree-Bend,Tasmania-Region,AU,-41.4174,147.125,1998,4.2,6.0,9,5.111,5.0,0.314
NGEL_OAPM_00112,South-Launceston,Tasmania-Region,AU,-41.4441,147.148,1998,0.7,6.0,9,5.111,5.0,0.314
NGEL_OAPM_00113,Mirasol,Puerto-Montt,CL,-41.4795069236,-72.968755930145,1998,3.6,31.0,9,10.556,8.0,7.44
NGEL_OAPM_00114,Hadspen,Tasmania-Region,AU,-41.5032,147.067,1998,5.4,5.0,9,5.111,5.0,0.314
NGEL_OAPM_00115,Deloraine,Tasmania-Region,AU,-41.5224,146.66,1998,3.2,5.0,9,5.0,5.0,0.0
NGEL_OAPM_00116,Westbury,Tasmania-Region,AU,-41.5301,146.835,1998,2.5,5.0,9,5.0,5.0,0.0
NGEL_OAPM_00117,Perth,Tasmania-Region,AU,-41.5724,147.174,1998,3.2,5.0,9,5.111,5.0,0.314
NGEL_OAPM_00118,Longford,Tasmania-Region,AU,-41.6015,147.119,1998,6.0,5.0,9,5.0,5.0,0.0
NGEL_OAPM_00119,Fingal,Tasmania-Region,AU,-41.6432,147.981,1998,2.7,5.0,9,5.0,5.0,0.0
NGEL_OAPM_00120,Poatina,Tasmania-Region,AU,-41.7866,146.988,1998,5.1,5.0,9,5.0,5.0,0.0
NGEL_OAPM_00121,Campbell-Town,Tasmania-Region,AU,-41.9281,147.491,1998,4.2,6.0,9,5.444,5.0,0.497
NGEL_OAPM_00122,Oatlands,Tasmania-Region,AU,-42.3003,147.372,1998,5.8,5.0,9,5.0,5.0,0.0
NGEL_OAPM_00123,Triabunna,Tasmania-Region,AU,-42.5089,147.913,1998,5.5,5.0,9,5.0,5.0,0.0
NGEL_OAPM_00124,Gretna,Tasmania-Region,AU,-42.6833,146.936,1998,3.9,5.0,9,5.0,5.0,0.0
NGEL_OAPM_00125,New-Norfolk,Tasmania-Region,AU,-42.776,147.054,1998,2.9,5.0,9,5.0,5.0,0.0
NGEL_OAPM_00126,Bream-Creek,Tasmania-Region,AU,-42.8194,147.817,1998,4.3,5.0,9,5.111,5.0,0.314
NGEL_OAPM_00127,Glenorchy,Tasmania-Region,AU,-42.8419,147.271,1998,1.9,6.0,9,5.444,5.0,0.497
NGEL_OAPM_00128,Hobart,Tasmania-Region,AU,-42.8546,147.315,1998,2.9,6.0,9,5.778,6.0,0.416
NGEL_OAPM_00129,Mornington,Tasmania-Region,AU,-42.8608,147.404,1998,3.9,6.0,9,5.889,6.0,0.314
NGEL_OAPM_00130,Judbury,Tasmania-Region,AU,-43.0092,146.944,1998,4.6,5.0,9,5.0,5.0,0.0
NGEL_OAPM_00131,Huonville,Tasmania-Region,AU,-43.0322,147.051,1998,2.0,5.0,9,5.0,5.0,0.0
NGEL_OAPM_00132,Cygnet,Tasmania-Region,AU,-43.1587,147.072,1998,2.0,5.0,9,5.0,5.0,0.0
NGEL_OAPM_00133,Geeveston,Tasmania-Region,AU,-43.1689,146.927,1998,2.8,5.0,9,5.0,5.0,0.0
NGEL_OAPM_00134,Coyhaique-II,Coyhaique,CL,-45.579045667164,-72.049964505825,1998,3.2,13.0,9,5.222,4.0,2.973
NGEL_OAPM_00135,Coyhaique,Coyhaique,CL,-45.57996447948,-72.061125987766,1998,3.4,13.0,9,5.222,4.0,2.973
NGEL_OAPM_00136,Punta-Arenas,Punta-Arenas,CL,-53.158295492238,-70.921497482453,1998,2.1,11.0,8,6.75,5.0,3.832
NGEL_OAPM_00137,US-Diplomatic-Post:-Jakarta-Central,Jakarta,ID,-6.182536,106.834236,1998,4.0,50.0,9,49.889,50.0,0.994
NGEL_OAPM_00138,US-Diplomatic-Post:-Kampala,Kampala,UG,0.300225,32.591553,1998,7.2,26.0,9,25.778,25.0,1.03
NGEL_OAPM_00139,US-Diplomatic-Post:-Ho-Chi-Minh-City,Ho-Chi-Minh-City,VN,10.782773,106.700035,1998,6.6,21.0,9,20.556,21.0,1.499
NGEL_OAPM_00140,BTM-Layout,Bengaluru,IN,12.91281111,77.60921944,1998,6.1,28.0,9,27.444,27.0,0.497
NGEL_OAPM_00141,BWSSB-Kadabesanahalli,Bengaluru,IN,12.93890556,77.69727222,1998,5.3,28.0,9,27.444,27.0,0.497
NGEL_OAPM_00142,Alandur-Bus-Depot,Chennai,IN,12.99711389,80.19151667,1998,6.9,35.0,9,35.222,35.0,0.629
NGEL_OAPM_00143,Peenya,Bengaluru,IN,13.0339,77.51321111,1998,4.4,27.0,9,27.0,27.0,0.471
NGEL_OAPM_00144,US-Diplomatic-Post:-Chennai,Chennai,IN,13.08784,80.27847,1998,5.2,35.0,8,34.625,35.0,0.484
NGEL_OAPM_00145,Manali,Chennai,IN,13.164544,80.26285,1998,2.1,34.0,9,34.444,34.0,0.497
NGEL_OAPM_00146,ZooPark--Hyderabad---TSPCB,Hyderabad,IN,17.349694,78.451437,1998,0.2,30.0,9,29.667,30.0,0.471
NGEL_OAPM_00147,US-Diplomatic-Post:-Hyderabad,Hyderabad,IN,17.38405,78.45636,1998,3.8,30.0,9,29.667,30.0,0.471
NGEL_OAPM_00148,Sanathnagar--Hyderabad---TSPCB,Hyderabad,IN,17.42329722,78.47469722,1998,4.0,30.0,9,29.556,30.0,0.497
NGEL_OAPM_00149,Maharashtra-Pollution-Control-Board---Solapur,Solapur,IN,17.6599188,75.9063906,1998,4.8,29.0,9,29.556,30.0,0.497
NGEL_OAPM_00150,Ponce,PONCE,US,18.009556,-66.62725,1998,5.1,10.0,9,10.111,10.0,0.994
NGEL_OAPM_00151,Bayamon-37-(NCore),BAYAMON,US,18.41923,-66.15042,1998,3.4,12.0,6,10.667,10.5,1.106
NGEL_OAPM_00152,Cataño-40,CATANO,US,18.428388,-66.141657,1998,2.6,12.0,6,10.667,10.5,1.106
NGEL_OAPM_00153,AAQMS-Karve-Road-Pune,Pune,IN,18.497484,73.81349,1998,6.5,35.0,9,34.556,34.0,0.956
NGEL_OAPM_00154,Maharashtra-Pollution-Control-Board-Bandra,Mumbai,IN,19.041847,72.865513,1998,1.9,35.0,8,37.75,37.0,2.437
NGEL_OAPM_00155,US-Diplomatic-Post:-Mumbai,Mumbai,IN,19.07283,72.88261,1998,4.3,35.0,8,37.75,37.0,2.437
NGEL_OAPM_00156,Ocean-View,Hilo,US,19.117561,-155.778137,1998,4.7,6.0,9,6.0,6.0,0.0
NGEL_OAPM_00157,Navi-Mumbai-Municipal-Corporation-Airoli,Mumbai,IN,19.1494,72.9986,1998,5.1,35.0,9,35.889,36.0,0.737
NGEL_OAPM_00158,Pahala,Hilo,US,19.2065,-155.4689,1998,5.2,6.0,8,6.0,6.0,0.0
NGEL_OAPM_00159,UAM-Xochimilco,DISTRITO-FEDERAL,MX,19.3044,-99.0738,1998,5.7,57.0,9,58.222,59.0,3.966
NGEL_OAPM_00160,Coyoacán,DISTRITO-FEDERAL,MX,19.3502,-99.1571,1998,0.7,63.0,9,59.111,59.0,3.107
NGEL_OAPM_00161,Santa-Fe,DISTRITO-FEDERAL,MX,19.3573,-99.2628,1998,1.6,58.0,9,57.778,58.0,3.823
NGEL_OAPM_00162,Nezahualcóyotl,MEXICO-STATE,MX,19.3919,-99.0281,1998,5.2,57.0,9,58.222,59.0,3.966
NGEL_OAPM_00163,Hospital-General-de,DISTRITO-FEDERAL,MX,19.4116,-99.1522,1998,4.3,60.0,9,57.222,58.0,3.823
NGEL_OAPM_00164,Merced,DISTRITO-FEDERAL,MX,19.4246,-99.1195,1998,4.3,60.0,9,57.222,58.0,3.823
NGEL_OAPM_00165,Camarones,DISTRITO-FEDERAL,MX,19.4684,-99.1697,1998,2.9,60.0,9,57.222,58.0,3.823
NGEL_OAPM_00166,Kona,Hilo,US,19.5097,-155.9133,1998,5.9,6.0,7,6.0,6.0,0.0
NGEL_OAPM_00167,Tlalnepantla,MEXICO-STATE,MX,19.529,-99.2045,1998,5.3,58.0,9,56.444,56.0,2.409
NGEL_OAPM_00168,San-Agustín,MEXICO-STATE,MX,19.5329,-99.0303,1998,2.8,49.0,9,54.222,54.0,3.425
NGEL_OAPM_00169,Mountain-View,HAWAII,US,19.555445,-155.102036,1998,5.1,6.0,9,6.0,6.0,0.0
NGEL_OAPM_00170,Hilo,Hilo,US,19.717562,-155.110535,1998,5.5,6.0,9,6.0,6.0,0.0
NGEL_OAPM_00171,Chandrapur,Chandrapur,IN,19.95,79.3,1998,5.2,37.0,9,36.667,36.0,0.816
NGEL_OAPM_00172,Estación-Teódula,GUANAJUATO,MX,20.657939,-101.34915,1998,0.9,36.0,9,34.222,35.0,1.685
NGEL_OAPM_00173,Estación-Bomberos,GUANAJUATO,MX,20.67495,-101.35595,1998,2.8,36.0,9,34.222,35.0,1.685
NGEL_OAPM_00174,Kihei--Maui,Kahului-Wailuku,US,20.7808,-156.4461,1998,3.4,6.0,9,6.111,6.0,0.314
NGEL_OAPM_00175,KAHULUI,MAUI,US,20.869444,-156.492417,1998,4.9,7.0,9,6.222,6.0,0.416
NGEL_OAPM_00176,US-Diplomatic-Post:-Hanoi,Hanoi,VN,21.021938,105.81881,1998,4.5,49.0,9,44.778,44.0,1.75
NGEL_OAPM_00177,SAND-ISLAND-2---ANUE,Honolulu,US,21.3039,-157.8711,1998,5.6,7.0,8,7.0,6.5,1.225
NGEL_OAPM_00178,Honolulu,Honolulu,US,21.310301,-157.858093,1998,4.5,7.0,8,7.0,6.5,1.225
NGEL_OAPM_00179,Kapolei,Honolulu,US,21.323601,-158.088593,1998,5.0,8.0,8,7.375,7.5,1.218
NGEL_OAPM_00180,Pearl-City,Honolulu,US,21.392834,-157.969131,1998,5.2,9.0,8,7.375,7.5,1.218
NGEL_OAPM_00181,US-Diplomatic-Post:-Kolkata,Kolkata,IN,22.56263,88.36304,1998,1.9,43.0,9,42.778,43.0,1.03
NGEL_OAPM_00182,Guangzhou,Guangzhou,CN,23.12,113.32,1998,4.5,37.0,9,36.111,36.0,1.728
NGEL_OAPM_00183,US-Diplomatic-Post:-Dhaka,Dhaka,BD,23.796373,90.424614,1998,5.8,46.0,9,46.0,46.0,0.0
NGEL_OAPM_00184,Ardhali-Bazar,Varanasi,IN,25.35055556,82.97833333,1998,2.8,66.0,9,65.889,66.0,1.853
NGEL_OAPM_00185,NCORE,BROWARD,US,26.054047,-80.257608,1998,0.9,14.0,9,15.0,14.0,1.491
NGEL_OAPM_00186,V_VIEW,Miami-Fort-Lauderdale-Miami-Beach,US,26.0732,-80.3386,1998,2.8,18.0,9,15.556,16.0,1.257
NGEL_OAPM_00187,Near-Road,BROWARD,US,26.131256,-80.167847,1998,2.7,13.0,9,14.667,15.0,1.155
NGEL_OAPM_00188,US-Diplomatic-Post:-Manama,Manama,BH,26.204697,50.57083,1998,5.4,70.0,6,63.333,64.0,4.714
NGEL_OAPM_00189,Mission-C43,McAllen-Edinburg-Mission,US,26.226226,-98.29107,1998,4.9,19.0,9,19.889,20.0,0.994
NGEL_OAPM_00190,Collectorate-Jodhpur---RSPCB,Jodhpur,IN,26.2920639,73.0379111111111,1998,4.8,46.0,9,46.222,46.0,0.416
NGEL_OAPM_00191,Laurel-Oaks-Elementa,Naples-Marco-Island,US,26.2992,-81.72,1998,6.2,16.0,9,14.889,15.0,2.183
NGEL_OAPM_00192,Nehru-Nagar,Kanpur,IN,26.4703088,80.3251749,1998,3.3,84.0,9,84.444,85.0,0.685
NGEL_OAPM_00193,Winkler-Pump-Station,Cape-Coral-Fort-Myers,US,26.6028,-81.8789,1998,6.0,15.0,9,16.444,17.0,0.956
NGEL_OAPM_00194,Belle-Glade,PALM-BEACH,US,26.724167,-80.663055,1998,3.2,19.0,8,18.125,18.0,1.053
NGEL_OAPM_00195,Talkatora-District-Industries-Center,Lucknow,IN,26.83399722,80.8917361,1998,4.5,81.0,9,80.778,81.0,0.916
NGEL_OAPM_00196,Lalbagh--DN-Park,Lucknow,IN,26.84578611,80.93874444,1998,1.2,80.0,9,79.556,80.0,1.641
